accident_id,occr_date,daynight,wday,assault,damaged,assault_id,damaged_id,location_id,violation_id,road_type_l_id,road_type_id,acc_type_l_id,acc_type_id,acc_type_id,acc_type_l_id,acc_type,acc_type_l_id,acc_type_l,assault_id,assault,accident_id,death,serious,injured,slight,wound,damaged_id,damaged,violation_id,violation,road_type_id,road_type_l_id,road_form,road_type_l_id,road_form_l,accident_id,assault_id,damaged_id,location_id,sido,sgg,weather_id,area_id,area_nm,measure_dt,temperature,rainfall,wind_speed,wind_direction,humidity,snow_drifts,ground_temperature
25349,00:00.0,2,월,승용차,승용차,10,16,148,3,5,6,3,5,5,3,정면충돌,3,차대차,10,승용차,25349,1,2,1,0,0,16,승용차,3,중앙선 침범,6,5,기타단일로,5,단일로,25349,10,16,148,서울,서울,95245,108,서울,00:00.0,10.6,1.5,0.6,90,88,0,10.3
32426,00:00.0,2,일,승용차,보행자,10,1,148,20,5,6,4,15,15,2,기타,4,차대사람,10,승용차,32426,1,2,0,1,0,1,보행자,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,32426,10,1,148,서울,서울,95578,108,서울,00:00.0,3.3,0,0.5,20,46,0,-0.1
26490,00:00.0,1,월,승합차,보행자,2,1,148,7,5,6,4,9,9,4,횡단중,4,차대사람,2,승합차,26490,1,1,0,0,0,1,보행자,7,보행자 보호의무 위반,6,5,기타단일로,5,단일로,26490,2,1,148,서울,서울,96099,108,서울,00:00.0,-5.3,0,3.8,290,38,5.7,-0.6
26144,00:00.0,1,금,승용차,보행자,10,1,148,20,5,17,4,9,9,4,횡단중,4,차대사람,10,승용차,26144,1,1,0,0,0,1,보행자,20,안전운전 의무 불이행,17,5,횡단보도상,5,단일로,26144,10,1,148,서울,서울,96196,108,서울,00:00.0,4,0,5.2,70,90,2,0.1
24157,00:00.0,1,수,승용차,화물차,10,15,90,20,5,6,3,10,10,3,진행중 추돌,3,차대차,10,승용차,24157,1,1,0,0,0,15,화물차,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,24157,10,15,90,인천,인천,97698,112,인천,00:00.0,-3.2,0,3.3,20,37,0,-2.6
23929,00:00.0,2,일,승용차,보행자,10,1,90,20,1,9,4,9,9,4,횡단중,4,차대사람,10,승용차,23929,1,1,0,0,0,1,보행자,20,안전운전 의무 불이행,9,1,교차로내,1,교차로,23929,10,1,90,인천,인천,99150,112,인천,00:00.0,12.3,0,2.4,320,66,0,13.3
22946,00:00.0,1,수,승용차,건설기계,10,18,90,2,1,9,3,5,5,3,정면충돌,3,차대차,10,승용차,22946,1,2,1,0,0,18,건설기계,2,신호위반,9,1,교차로내,1,교차로,22946,10,18,90,인천,인천,99377,112,인천,00:00.0,21.3,0,4.8,160,28,0,13.9
31630,00:00.0,2,화,승용차,이륜차,10,14,90,19,1,11,3,18,18,3,측면직각충돌,3,차대차,10,승용차,31630,1,1,0,0,0,14,이륜차,19,안전거리 미확보,11,1,교차로부근,1,교차로,31630,10,14,90,인천,인천,100378,112,인천,00:00.0,19.8,0,1.4,230,99,0,23.6
26947,00:00.0,1,화,화물차,자전거,8,6,90,20,1,11,3,18,18,3,측면직각충돌,3,차대차,8,화물차,26947,1,1,0,0,0,6,자전거,20,안전운전 의무 불이행,11,1,교차로부근,1,교차로,26947,8,6,90,인천,인천,104396,112,인천,00:00.0,1.8,0,4.1,320,62,0,5.9
24310,00:00.0,2,일,승용차,보행자,10,1,44,20,5,6,4,9,9,4,횡단중,4,차대사람,10,승용차,24310,1,1,0,0,0,1,보행자,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,24310,10,1,44,강원,원주,105917,114,원주,00:00.0,-6,0,2.8,250,26,0,-3.1
